id,compound_name,is_super,slug,properties_count,image_url,min_price,max_price,min_unit_area,max_unit_area,available_bathrooms,available_bedrooms,developer_id,developer_name,developer_logo,area_id,area_name,sponsored,max_installment_years,min_down_payment,min_ready_by,properties_ids,sum_10_properties_min_price,lat,long,has_offer,has_launches,is_launch,offer_title,limited_time_offer,property_types,property_types_count
984,Mirage Mall,False,984-mirage-mall,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6276/medium_Screenshot_20230614_161702.jpg,3500000,3500000,48,48,[0],[0],327,INMA Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/327/Screenshot_20230614_160001.jpg,2,New Cairo,0,,0,2023-06-14,[37215],3500000,30.079756,31.4552713,False,False,False,,True,['Retail'],"[{'id': 10, 'name': 'Retail', 'count': 1, 'total': 1, 'rank': 12}]"
505,Cali Coast Ras el Hekma,False,505-cali-coast-ras-el-hekma,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/5948/medium_cali_coast.png,3711710,3711710,71,71,[2],[1],97,MAVEN DEVELOPMENTS,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/97/nOXHtv1UstzjuFbc2Iq6CBZ58IdEwgtw.jpg,3,North Coast,0,7,1515000,2025-12-31,[39206],3711710,31.08829553,28.10075283,False,False,False,,True,['Chalet'],"[{'id': 5, 'name': 'Chalet', 'count': 1, 'total': 1, 'rank': 7}]"
142,Park View - Haptown,False,142-park-view-haptown,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/692/medium_cGFGOpS8zAknkQXpfHWMhC2SBtZoYD.jpg,3713062,4489500,157,168,[3],[2],22,Hassan Allam Properties,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/22/wUt0R6u20LUvrDjGQ3suz35ZAspNQoScreen-Shot-2018-02-15-at-9.58.43-AM-750x370.png,10,Mostakbal City,0,6,2109500,2023-12-31,"[28911, 42392]",8202562,30.04584166,31.65799499,False,False,False,,True,['Apartment'],"[{'id': 21, 'name': 'Apartment', 'count': 2, 'total': 2, 'rank': 1}]"
678,Aroma,False,678-aroma,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6595/medium_2.PNG,3800000,4000000,100,115,"[2, 3]","[2, 3]",264,Aroma Development,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/264/aroma_dev.png,4,Ain Sokhna,0,,0,2022-03-08,"[12159, 37526]",7800000,29.73293031,32.39542007,False,False,False,,True,"['Penthouse', 'Chalet']","[{'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}, {'id': 5, 'name': 'Chalet', 'count': 1, 'total': 1, 'rank': 7}]"
718,Promenade,False,718-promenade,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6856/medium_WhatsApp_Image_2023-06-22_at_12.54.40_PM__2_.jpeg,3800000,6000000,255,255,[4],[4],28,Wadi Degla Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/28/qnDWvznALKfh80pA7DVahIwQKm2Te3logo.png,26,El Sheikh Zayed,0,,0,2022-08-17,"[19251, 31347]",9800000,30.02973645,31.04774952,False,False,False,,True,['Duplex'],"[{'id': 3, 'name': 'Duplex', 'count': 2, 'total': 2, 'rank': 5}]"
79,Marseilia Beach 4,False,79-marseilia-beach-4,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/474/medium_rIiiHeiGDGsa9pw9RzcDIEyBHZeuhJ.jpg,3895000,11275000,85,290,"[2, 5]","[2, 5]",29,Marseilia Real Estate Investment S.A.E,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/29/6WQjMMFpM17YkHTZG5hVJzZOTwfX26logo.png,3,North Coast,0,,0,2022-08-20,"[19540, 42480]",15170000,30.94594083,28.80206459,False,False,False,,True,"['Villa', 'Chalet']","[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}, {'id': 5, 'name': 'Chalet', 'count': 1, 'total': 1, 'rank': 7}]"
964,Blue Blue,False,964-blue-blue,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/5988/medium_blue_blue.png,3895000,4848000,115,125,[2],[3],311,MG Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/311/mg_developments.png,4,Ain Sokhna,0,4,0,2023-05-27,"[36150, 36152]",8743000,29.2358744,32.6238155,False,False,False,,True,['Chalet'],"[{'id': 5, 'name': 'Chalet', 'count': 2, 'total': 2, 'rank': 7}]"
803,Cleopatra Palace,False,803-cleopatra-palace,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6637/medium_Cleopatra_.PNG,4000000,4000000,205,205,[3],[3],245,Cleopatra Developments,,8,El Shorouk,0,,0,2023-05-24,[36112],4000000,30.11642142,31.62301734,False,False,False,,True,['Apartment'],"[{'id': 21, 'name': 'Apartment', 'count': 1, 'total': 1, 'rank': 1}]"
83,Swan Lake North Coast,False,83-swan-lake-north-coast,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound/cover_image/83/Screenshot_3.png,11275000,25625000,255,460,"[3, 4]","[3, 4]",22,Hassan Allam Properties,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/22/wUt0R6u20LUvrDjGQ3suz35ZAspNQoScreen-Shot-2018-02-15-at-9.58.43-AM-750x370.png,3,North Coast,0,,0,2022-07-06,"[16845, 39990]",36900000,31.08133018,28.06082846,False,False,False,,True,"['Townhouse', 'Penthouse', 'Cabin']","[{'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}, {'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}, {'id': 11, 'name': 'Cabin', 'count': 1, 'total': 1, 'rank': 8}]"
87,Telal Sokhna,True,87-telal-sokhna,7,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/522/medium_z26WLaYyaR8dhax4mqIq3AXLesW5MK.jpg,4100000,18000000,97,280,"[1, 2, 3, 5]","[1, 2, 3, 5]",25,Roya Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/25/roya_devel.png,4,Ain Sokhna,0,8,0,2022-09-07,"[19675, 19694, 20515, 29779, 35786, 42237, 42542]",53112000,29.39440021,32.5423143,False,False,False,,True,"['Villa', 'Twinhouse', 'Chalet']","[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 4, 'total': 4, 'rank': 3}, {'id': 5, 'name': 'Chalet', 'count': 2, 'total': 2, 'rank': 7}]"
